"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"679B7ZC6","journalArticle","1981","Ewusi-Mensah, Kweku","The external organizational environment and its impact on management information systems","Accounting, Organizations and Society","","0361-3682","10.1016/0361-3682(81)90010-6","https://www.sciencedirect.com/science/article/pii/0361368281900106","It is argued in this paper that organizations are “living purposeful” or “adaptively rational” systems whose survival depends on their ability to interact successfully, on a continual basis, with the surrounding environment. Three states of the external organizational environment — controllable, partially controllable and uncontrollable — are identified, and the information characteristics of each state are discussed. The approaches that organizations can adopt to collect information on the environment are also discussed; these approaches use externally-based data sources and modeling and/or analytic techniques. On these bases, we consider effective strategies and methodologies which organizations can adopt for processing, evaluating and communicating information about the external environment to satisfy decision-making requirements.","1981-01-01","2024-02-18 15:22:07","2024-02-18 15:22:07","2024-02-18 15:22:07","301-316","","4","6","","Accounting, Organizations and Society","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\DONKAMS\Zotero\storage\KADMW4KI\0361368281900106.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H2Q7FZY9","bookSection","2006","Chet, Miller C.; ogilvie, dt; Glick, William H.","Assessing the External Environment: An Enrichment of the Archival Tradition","Research Methodology in Strategy and Management","978-0-7623-1339-6 978-1-84950-436-2","","","https://doi.org/10.1016/S1479-8387(06)03006-2","Organization theorists and strategy researchers have effectively leveraged archival assessments of the environment to better understand organizational actions and performance. Despite the successes, several issues continue to plague research. Vague constitutive definitions and mismatches between constitutive and operational definitions are among the most pressing of these issues. To further develop the archival tradition, we clarified existing definitions and proposed new definitions where warranted. Our work has implications not only for the selection of concepts and measures in future work but also for interpretations of past research.","2006-01-01","2024-02-18 15:23:43","2024-02-18 15:23:43","2024-02-18 15:23:43","97-122","","","3","","","Assessing the External Environment","Research Methodology in Strategy and Management","","","","Emerald Group Publishing Limited","","","","","","","Emerald Insight","","DOI: 10.1016/S1479-8387(06)03006-2","","C:\Users\DONKAMS\Zotero\storage\D2HFNHDJ\html.html","","","","J. Ketchen, David; D. Bergh, Donald","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YD5TWW7U","webpage","","Dirsmith","Strategy, external communication and environmental context - Dirsmith - 1983 - Strategic Management Journal - Wiley Online Library","","","","","https://onlinelibrary.wiley.com/doi/abs/10.1002/smj.4250040205","","","2024-02-18 15:24:31","2024-02-18 15:44:05","2024-02-18 15:24:31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VMP4JQSU","journalArticle","2016","Uitto, Juha I.","The Environment-poverty Nexus in Evaluation: Implications for the Sustainable Development Goals","Global Policy","","1758-5899","10.1111/1758-5899.12347","https://onlinelibrary.wiley.com/doi/abs/10.1111/1758-5899.12347","The article emphasizes the importance of evaluation in the context of sustainable development. It focuses on the so called environment-poverty nexus where issues of environmental conservation and management meet the social and economic development needs. Given the threats to the global environment and the forces of economic development that work against it, it is crucial that environmental policies, strategies, programmes and projects are designed and implemented in an effective manner producing lasting impacts. Evaluation is a central tool for analysing what works, why and under what circumstances to inform policy making and programme design. Environmental evaluation faces specific challenges due to the complex nature of the environment-poverty nexus. Based on a review of evaluation literature and practical experiences with evaluations conducted on the nexus in the international development arena, the article draws lessons for evaluating sustainable development. It concludes by suggesting that strong evaluation be built into the new Sustainable Development Goals.","2016","2024-02-18 15:26:44","2024-02-18 15:26:44","2024-02-18 15:26:44","441-447","","3","7","","","The Environment-poverty Nexus in Evaluation","","","","","","","en","© 2016 University of Durham and John Wiley & Sons, Ltd","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/1758-5899.12347","","C:\Users\DONKAMS\Zotero\storage\KCGWUT8B\1758-5899.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TYBA7DSM","journalArticle","2023","Egami, Naoki; Hartman, Erin","Elements of External Validity: Framework, Design, and Analysis","American Political Science Review","","0003-0554, 1537-5943","10.1017/S0003055422000880","https://www.cambridge.org/core/journals/american-political-science-review/article/elements-of-external-validity-framework-design-and-analysis/2D0914404C84B3F169732FF1D5E39420","The external validity of causal findings is a focus of long-standing debates in the social sciences. Although the issue has been extensively studied at the conceptual level, in practice few empirical studies include an explicit analysis that is directed toward externally valid inferences. In this article, we make three contributions to improve empirical approaches for external validity. First, we propose a formal framework that encompasses four dimensions of external validity: -, -, -, and C-validity (populations, treatments, outcomes, and contexts). The proposed framework synthesizes diverse external validity concerns. We then distinguish two goals of generalization. To conduct effect-generalization—generalizing the magnitude of causal effects—we introduce three estimators of the target population causal effects. For sign-generalization—generalizing the direction of causal effects—we propose a novel multiple-testing procedure under weaker assumptions. We illustrate our methods through field, survey, and lab experiments as well as observational studies.","2023-08","2024-02-18 15:26:50","2024-02-18 15:26:50","2024-02-18 15:26:50","1070-1088","","3","117","","","Elements of External Validity","","","","","","","en","","","","","Cambridge University Press","","","","C:\Users\DONKAMS\Zotero\storage\L2LM3TZ3\Egami and Hartman - 2023 - Elements of External Validity Framework, Design, .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UDVLUSV7","journalArticle","2020","M. Galindro, Bruno; Bey, Niki; I. Olsen, Stig; E. Fries, Carlos; R. Soares, Sebastião","Use of data envelopment analysis to benchmark environmental product declarations—a suggested framework","The International Journal of Life Cycle Assessment","","1614-7502","10.1007/s11367-019-01639-1","https://doi.org/10.1007/s11367-019-01639-1","Environmental product declarations (EPDs) are standardized tools based on life cycle assessment (LCA) to communicate and compare environmental performance of products according to well-defined product category rules (PCRs). However, despite the comparability enabled by the PCRs, the use of this information for benchmarking is still challenging, since there is still no consensus or standardization regarding techniques and procedures to be adopted. Therefore, here, we suggest and apply a framework to benchmark and develop a ranking system for the products based on data from EPDs.","2020-12-01","2024-02-18 15:26:54","2024-02-18 15:26:54","2024-02-18 15:26:54","2417-2431","","12","25","","Int J Life Cycle Assess","","","","","","","","en","","","","","Springer Link","","","","C:\Users\DONKAMS\Zotero\storage\QKD9FMWL\M. Galindro et al. - 2020 - Use of data envelopment analysis to benchmark envi.pdf","","","Benchmarking; Communication; Comparability; Data envelopment analysis; Environmental product declarations; Life cycle assessment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLRAB2XA","journalArticle","2011","Zhang, He; Liu, Lin; Li, Tong","Designing IT systems according to environmental settings: A strategic analysis framework","The Journal of Strategic Information Systems","","0963-8687","10.1016/j.jsis.2011.01.001","https://www.sciencedirect.com/science/article/pii/S0963868711000023","In the past, IT system design is mainly driven by two essential factors: technical merits and costs. Environmental consideration only emerges in most recent discussions under the label of green IT. As the evaluation of environmental and climate impact involves too many parameters, some of which are indirect and hidden, it is very hard to make rationale analysis without the support of a holistic strategic analysis framework. In this paper, we propose to extend the goal-oriented requirements modeling language, GRL, to model the rationality behind IT system design, in particular, how the environment related considerations come into play in such design decision making. It can be adopted as a strategic analysis framework to facilitate concrete decision makings under different environmental settings. Example real world scenarios are used to illustrate how the proposed approach can help improve the state of the practice.","2011-03-01","2024-02-18 15:26:57","2024-02-18 15:26:57","2024-02-18 15:26:57","80-95","","1","20","","The Journal of Strategic Information Systems","Designing IT systems according to environmental settings","The Greening of IT","","","","","","","","","","","ScienceDirect","","","","C:\Users\DONKAMS\Zotero\storage\2HYTQ924\S0963868711000023.html","","","Environment; Goals; Impact; Modeling; Requirements","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U7BB66LD","conferencePaper","2018","Schuetz, Christoph G.; Mair, Eva; Schrefl, Michael","PES℡ Modeler: Strategy Analysis Using MetaEdit+, iStar 2.0, and Semantic Technologies","2018 IEEE 22nd International Enterprise Distributed Object Computing Workshop (EDOCW)","","","10.1109/EDOCW.2018.00040","https://ieeexplore.ieee.org/abstract/document/8536126","In strategic management, strategy analysis includes an analysis of a company's strategic position. In particular, the PES℡ framework serves to analyze a company's macroenvironment, i.e., the political, economic, social, technological, ecological, and legal factors that influence a company's strategic position. In this paper, we demonstrate a modeling tool for PES℡ analysis implemented in MetaEdit+ using iStar 2.0 notation. Semantic technologies then serve to infer new knowledge from PES℡ models, namely the opportunities and threats that a company faces.","2018-10","2024-02-18 15:27:12","2024-02-18 15:27:12","2024-02-18 15:27:12","216-219","","","","","","PES℡ Modeler","","","","","","","","","","","","IEEE Xplore","","ISSN: 2325-6605","","C:\Users\DONKAMS\Zotero\storage\53YNAXDM\8536126.html","","","Adaptation models; Analytical models; business modeling; CASE tools; Companies; environmental analysis; Generators; Java; metaCASE tools; Resource description framework; strategic management; SWOT; Tools","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 IEEE 22nd International Enterprise Distributed Object Computing Workshop (EDOCW)","","","","","","","","","","","","","","",""
"CEN8C9SD","journalArticle","2021","Mokhtar, S. 'harin","A framework for sustainable environmental analysis","","","","10.1088/1755-1315/685/1/012005","https://ui.adsabs.harvard.edu/abs/2021E&ES..685a2005M","This study aims to identify the determinants of key forces in the external and internal environment of event management to propose a sustainable environment analysis framework that will help organizers to improve the sustainability of the strategy formulation. The proposed framework incorporates sustainability practices, previous research on sustainable event management, existing strategies of sustainable strategic management, and the results from this study. This framework has adopted PEST Analysis (a framework used to analyse and monitor macro-environmental factors that may have a profound impact on an organization’s performance) in external environment analysis and Mckinsey 7s Framework in internal environment analysis to identify sustainable-related determinants of key forces to propose common sustainable practices to get common acceptance for sustainability. The identified determinants were applied in the proposed framework to guide event organizer when identifying key forces of external and internal environment which can influence to achieve sustainability in the event. On top of this, SWOT Analysis (a strategic planning technique used to help an organization to identify strengths, weaknesses, opportunities, and threat related to business competition) was adopted to help event organizers to identify the opportunities and threats in the external environment and understand the strengths and weakness of the organization to formulate effective sustainable strategies and move their events toward sustainability.","2021-03-01","2024-02-18 15:29:42","2024-02-18 15:29:42","2024-02-18 15:29:42","012005","","","685","","","","","","","","","","","","","","","NASA ADS","","Conference Name: IOP Conference Series: Earth and Environmental Science ADS Bibcode: 2021E&ES..685a2005M","","C:\Users\DONKAMS\Zotero\storage\7IW92DB2\Mokhtar - 2021 - A framework for sustainable environmental analysis.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HRQTI3CD","journalArticle","2023","Jahan, Sakila Akter; Sazu, Mesbaul Haque","Role of IoTs and Analytics in Efficient Sustainable Manufacturing of Consumer Electronics","International Journal of Computing Sciences Research","","2546-115X","","//www.stepacademic.net/ijcsr/article/view/346","Purpose – analytics has ushered in a new wave of changes in the manufacturer world. It presents manufacturing firms with efficient product manufacturing, personalization, and improvement in the way product is manufactured. However, debates arise in the implementation of these methods in some segments of the manufacturer, like electronic products, which are normally based on large-scale product manufacturing and prolonged supply chains (SC).Method – Using examples set by pieces of literature to recognize different ways that enable TSM, the paper derives different useful techniques The study develops a conceptual framework to explore if analytics coupled with different product manufacturing consumer electronics (CE) can provide for a top-class sustainable (TSM) product manufacturing system. Through a purposive sampling of 419 consumer electronics manufacturer companies applying secondary and primary data, the study explored dynamic product manufacturing processes, the role of analytics, and its impact on TSM product manufacturing.Results – The study discovers several uses of DM principles to evaluate the current product manufacturing processes worked for larger customer product CE by using analytics and industry analysis.Conclusion – The evaluation’s suggested framework mentioned in this research has a deeper impact on planning, and comprehension relationships, among factors of data analytics and TSM product manufacturing.  Recommendations – Usage of the Internet of Things (IoT) and analytics in a manufacturing system can significantly improve the efficiency and sustainability of manufacturing CE. Thus, manufacturers can greatly benefit by implementing these tools and should explore ways to do so.Research Implications – The novel study has several implications, demonstrating how sustainable efficient manufacturing could be achieved using tools like IOTs and analytics.","2023-01-01","2024-02-18 15:29:44","2024-02-18 15:29:44","2024-02-18 15:29:44","1337-1350","","","7","","","","","","","","","","en","Copyright (c) 2023","","","","www.stepacademic.net","","","","C:\Users\DONKAMS\Zotero\storage\SQ2LHBJW\Jahan and Sazu - 2023 - Role of IoTs and Analytics in Efficient Sustainabl.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
